Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.3699	1.00	8.6085	1.00	0.2924	1.00	0.3535	1.00	11.0113	1.00	0.2920	1.00	0.9770
mfo	LK	full	0.3812	1.00	7.3164	1.00	0.2754	1.00	0.3561	1.00	9.5476	1.00	0.2682	1.00	0.9654
mfo	PK	full	0.1996	1.00	4.1863	1.00	0.1677	1.00	0.2378	0.97	8.7015	1.00	0.2195	0.99	0.9819
bpo	NK	full	0.2418	1.00	14.9603	1.00	0.2072	1.00	0.2386	1.00	21.7015	1.00	0.2063	1.00	0.9697
bpo	LK	full	0.1785	1.00	14.9369	1.00	0.1285	1.00	0.1881	0.78	31.6983	1.00	0.1419	1.00	0.9945
bpo	PK	full	0.0604	1.00	10.4437	1.00	0.0517	1.00	0.0910	0.99	22.9761	1.00	0.0770	0.99	0.9925
cco	NK	full	0.3278	1.00	5.5159	1.00	0.1943	1.00	0.2994	0.90	8.5041	1.00	0.1947	1.00	0.9781
cco	LK	full	0.2710	1.00	5.1033	1.00	0.1532	1.00	0.2749	1.00	8.1024	1.00	0.1882	1.00	0.9910
cco	PK	full	0.1414	1.00	4.5318	1.00	0.1147	1.00	0.1615	1.00	7.4307	1.00	0.1360	1.00	0.9933
