Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.4980	0.43	7.3685	0.78	0.4417	0.49	0.4432	0.43	8.8247	0.65	0.3869	0.43	0.9885
mfo	LK	full	0.4255	0.50	6.8318	0.88	0.3372	0.53	0.3690	0.39	8.4971	0.81	0.2802	0.41	0.9790
mfo	PK	full	0.2691	0.51	4.1234	0.99	0.2409	0.59	0.2441	0.49	8.2717	0.93	0.2271	0.49	0.9889
bpo	NK	full	0.2843	0.48	14.1670	0.93	0.2403	0.48	0.2447	0.43	20.0191	0.88	0.2074	0.44	0.9885
bpo	LK	full	0.2541	0.55	14.4852	0.97	0.1999	0.55	0.2099	0.52	29.5897	0.97	0.1702	0.52	0.9973
bpo	PK	full	0.0913	0.57	10.4437	1.00	0.0800	0.75	0.1101	0.46	22.9112	1.00	0.0976	0.46	0.9965
cco	NK	full	0.4259	0.51	5.5159	1.00	0.2778	0.58	0.3376	0.39	8.2628	1.00	0.2038	0.51	0.9934
cco	LK	full	0.3792	0.55	5.0108	0.97	0.2378	0.56	0.2886	0.41	7.8874	0.82	0.1733	0.52	0.9940
cco	PK	full	0.2151	0.57	4.5318	1.00	0.1862	0.57	0.1900	0.44	7.3577	1.00	0.1614	0.46	0.9966
