Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.5060	0.40	7.0729	0.63	0.4592	0.40	0.4176	0.29	8.6281	0.61	0.3723	0.34	0.9875
mfo	LK	full	0.4162	0.27	6.6050	0.86	0.3594	0.28	0.3607	0.17	8.5002	0.77	0.3101	0.22	0.9778
mfo	PK	full	0.2895	0.34	4.1303	0.99	0.2598	0.35	0.2610	0.24	8.4525	0.78	0.2463	0.34	0.9877
bpo	NK	full	0.3071	0.38	14.2357	0.85	0.2611	0.42	0.2541	0.21	20.1752	0.85	0.2152	0.20	0.9870
bpo	LK	full	0.2540	0.33	14.6464	0.95	0.1987	0.50	0.2226	0.28	30.8416	0.86	0.1692	0.28	0.9973
bpo	PK	full	0.0983	0.34	10.4437	1.00	0.0875	0.46	0.1212	0.32	22.9043	1.00	0.1068	0.32	0.9960
cco	NK	full	0.4300	0.29	5.4078	1.00	0.2804	0.31	0.3369	0.24	8.2521	0.94	0.2186	0.25	0.9905
cco	LK	full	0.4007	0.35	5.0213	0.96	0.2435	0.35	0.3173	0.24	7.8938	0.95	0.2169	0.18	0.9940
cco	PK	full	0.2163	0.45	4.5318	1.00	0.1897	0.47	0.1916	0.28	7.3391	1.00	0.1669	0.28	0.9962
