Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.4129	0.43	7.8737	0.20	0.2373	0.15	0.3897	0.43	10.1358	0.20	0.2125	0.14	1.0000
mfo	LK	full	0.4975	0.20	6.1677	0.20	0.3328	0.20	0.4599	0.20	8.4536	0.20	0.2757	0.20	1.0000
mfo	PK	full	0.2877	0.50	4.0456	0.50	0.2729	0.50	0.1681	0.15	8.2802	0.20	0.1525	0.20	1.0000
bpo	NK	full	0.2862	0.26	14.1574	0.28	0.1608	0.15	0.2703	0.24	20.3910	0.24	0.1708	0.11	1.0000
bpo	LK	full	0.2735	0.19	14.2112	0.30	0.1915	0.15	0.2787	0.18	29.7830	0.19	0.2038	0.12	1.0000
bpo	PK	full	0.1018	0.15	10.2899	0.30	0.0821	0.15	0.1475	0.12	22.3463	0.19	0.1238	0.10	1.0000
cco	NK	full	0.5678	0.94	5.1355	0.35	0.2306	0.10	0.5089	0.42	8.0167	0.24	0.2184	0.08	1.0000
cco	LK	full	0.5619	0.94	4.7785	0.35	0.2515	0.16	0.4863	0.38	7.6397	0.24	0.2251	0.16	1.0000
cco	PK	full	0.2300	0.16	4.3847	0.35	0.2065	0.08	0.2240	0.08	7.1577	0.24	0.1903	0.08	1.0000
