Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.5023	0.34	7.1200	0.63	0.4544	0.38	0.4116	0.14	8.6479	0.58	0.3663	0.34	0.9875
mfo	LK	full	0.4551	0.22	6.7873	0.85	0.3699	0.22	0.3993	0.14	8.5890	0.77	0.3172	0.14	0.9778
mfo	PK	full	0.2822	0.31	4.1336	0.99	0.2523	0.34	0.2621	0.21	8.4400	0.78	0.2473	0.21	0.9877
bpo	NK	full	0.3048	0.35	14.2539	0.85	0.2607	0.35	0.2562	0.21	20.2642	0.85	0.2217	0.20	0.9870
bpo	LK	full	0.2704	0.34	14.6350	0.95	0.2145	0.34	0.2204	0.28	30.8662	0.88	0.1729	0.28	0.9973
bpo	PK	full	0.0995	0.46	10.4437	1.00	0.0893	0.46	0.1188	0.27	22.8950	1.00	0.1051	0.27	0.9960
cco	NK	full	0.4313	0.28	5.4152	1.00	0.2855	0.33	0.3386	0.23	8.2848	0.94	0.2244	0.20	0.9905
cco	LK	full	0.3968	0.32	4.9923	0.96	0.2447	0.33	0.3063	0.13	7.8658	0.86	0.2079	0.25	0.9940
cco	PK	full	0.2146	0.37	4.5318	1.00	0.1901	0.46	0.1917	0.21	7.3331	1.00	0.1666	0.25	0.9962
