Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.6813	0.54	5.1583	0.53	0.5743	0.43	0.6679	0.53	6.8722	0.49	0.5747	0.25	0.9885
mfo	LK	full	0.6169	0.46	5.0665	0.56	0.4980	0.44	0.6229	0.41	6.4782	0.52	0.5126	0.41	0.9790
mfo	PK	full	0.3482	0.19	3.7470	0.36	0.3296	0.19	0.3142	0.10	7.5791	0.24	0.3003	0.10	0.9889
bpo	NK	full	0.4108	0.43	13.1853	0.53	0.3100	0.32	0.3935	0.34	19.0670	0.52	0.3154	0.25	0.9885
bpo	LK	full	0.3705	0.38	13.5868	0.51	0.2861	0.30	0.3569	0.27	28.6107	0.38	0.2822	0.27	0.9973
bpo	PK	full	0.1403	0.19	10.1722	0.41	0.1251	0.20	0.1727	0.11	22.0361	0.29	0.1568	0.11	0.9965
cco	NK	full	0.6119	0.54	5.1115	0.54	0.3427	0.31	0.5508	0.43	7.7816	0.42	0.3193	0.25	0.9934
cco	LK	full	0.5834	0.47	4.7640	0.56	0.3336	0.26	0.5282	0.47	7.4316	0.47	0.3266	0.23	0.9940
cco	PK	full	0.2862	0.17	4.2726	0.35	0.2612	0.17	0.2714	0.13	6.9229	0.29	0.2406	0.16	0.9966
