Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.6687	0.53	5.1684	0.52	0.5685	0.32	0.6570	0.49	6.8560	0.47	0.5686	0.32	0.9885
mfo	LK	full	0.5299	0.44	5.0989	0.56	0.4649	0.37	0.5355	0.38	6.5652	0.47	0.4852	0.27	0.9790
mfo	PK	full	0.3494	0.18	3.7521	0.35	0.3296	0.22	0.3117	0.13	7.5625	0.23	0.2992	0.12	0.9889
bpo	NK	full	0.4070	0.41	13.2830	0.59	0.3075	0.32	0.3909	0.35	19.2247	0.50	0.3105	0.25	0.9885
bpo	LK	full	0.3706	0.32	13.7585	0.53	0.2887	0.32	0.3580	0.28	28.9102	0.35	0.2781	0.28	0.9973
bpo	PK	full	0.1382	0.20	10.1633	0.42	0.1232	0.20	0.1719	0.13	22.0445	0.30	0.1547	0.12	0.9965
cco	NK	full	0.6088	0.55	5.1111	0.63	0.3370	0.31	0.5488	0.47	7.7825	0.45	0.3155	0.26	0.9934
cco	LK	full	0.5797	0.46	4.8295	0.55	0.3319	0.27	0.5258	0.46	7.4304	0.46	0.3242	0.24	0.9940
cco	PK	full	0.2837	0.18	4.2842	0.35	0.2583	0.18	0.2731	0.13	6.9332	0.32	0.2424	0.16	0.9966
