Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.5807	1.00	6.9219	1.00	0.5141	1.00	0.5245	0.98	7.9184	1.00	0.4636	0.98	0.9885
mfo	LK	full	0.4178	0.85	6.6192	1.00	0.3500	0.90	0.3801	0.85	8.7011	1.00	0.3253	0.88	0.9790
mfo	PK	full	0.2546	0.86	4.1863	1.00	0.2212	0.86	0.2743	0.77	8.5344	1.00	0.2539	0.80	0.9889
bpo	NK	full	0.3453	1.00	14.9603	1.00	0.2764	0.98	0.3277	0.96	21.7015	1.00	0.2745	0.96	0.9885
bpo	LK	full	0.2572	0.92	14.9369	1.00	0.2022	0.92	0.2439	0.78	31.6983	1.00	0.1921	0.91	0.9973
bpo	PK	full	0.0868	0.90	10.4437	1.00	0.0758	0.97	0.1140	0.87	22.9761	1.00	0.1005	0.89	0.9965
cco	NK	full	0.5023	0.99	5.5159	1.00	0.3031	0.99	0.4388	0.99	8.5041	1.00	0.2698	0.95	0.9934
cco	LK	full	0.3904	0.92	5.1033	1.00	0.2426	0.90	0.3357	0.70	8.1024	1.00	0.2246	0.80	0.9940
cco	PK	full	0.1915	0.86	4.5318	1.00	0.1516	0.94	0.1947	0.86	7.4307	1.00	0.1590	0.86	0.9966
