Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.3885	0.20	7.8733	0.20	0.2310	0.15	0.3701	0.20	10.1521	0.20	0.2086	0.14	1.0000
mfo	LK	full	0.3757	0.15	6.1663	0.20	0.2943	0.20	0.3347	0.15	8.5147	0.20	0.2418	0.15	1.0000
mfo	PK	full	0.2884	0.46	4.0264	0.46	0.2849	0.46	0.1797	0.20	8.5811	0.44	0.1762	0.20	1.0000
bpo	NK	full	0.2862	0.26	14.1574	0.28	0.1608	0.15	0.2703	0.23	20.3910	0.23	0.1708	0.11	1.0000
bpo	LK	full	0.2735	0.19	14.2112	0.30	0.1915	0.15	0.2787	0.18	29.7830	0.19	0.2037	0.12	1.0000
bpo	PK	full	0.0983	0.39	10.3959	0.65	0.0957	0.27	0.1249	0.24	22.8219	0.47	0.1185	0.20	1.0000
cco	NK	full	0.5678	0.94	5.1355	0.35	0.2306	0.10	0.5089	0.42	8.0167	0.24	0.2184	0.08	1.0000
cco	LK	full	0.5619	0.94	4.7785	0.35	0.2515	0.16	0.4863	0.38	7.6397	0.24	0.2251	0.16	1.0000
cco	PK	full	0.1828	0.16	4.4544	0.44	0.1609	0.16	0.1815	0.16	7.2840	0.44	0.1499	0.16	1.0000
