Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.6420	0.45	5.5235	0.46	0.5415	0.34	0.6348	0.38	7.1724	0.34	0.5365	0.30	0.9885
mfo	LK	full	0.5092	0.40	5.2857	0.51	0.4406	0.31	0.5119	0.31	6.9930	0.51	0.4567	0.25	0.9790
mfo	PK	full	0.3347	0.27	3.8248	0.41	0.3192	0.27	0.2856	0.14	7.8135	0.30	0.2703	0.14	0.9889
bpo	NK	full	0.3750	0.40	13.7570	0.51	0.2726	0.26	0.3585	0.31	20.0085	0.42	0.2754	0.21	0.9885
bpo	LK	full	0.3556	0.32	13.9102	0.51	0.2624	0.27	0.3422	0.26	28.6558	0.34	0.2551	0.24	0.9973
bpo	PK	full	0.1298	0.18	10.2526	0.48	0.1145	0.18	0.1680	0.16	22.2775	0.34	0.1498	0.16	0.9965
cco	NK	full	0.6010	0.52	5.1708	0.51	0.3051	0.29	0.5352	0.50	7.9494	0.42	0.2759	0.20	0.9934
cco	LK	full	0.5874	0.51	4.7501	0.51	0.3159	0.23	0.5248	0.44	7.4514	0.45	0.3096	0.23	0.9940
cco	PK	full	0.2639	0.17	4.3774	0.41	0.2328	0.17	0.2573	0.17	7.0575	0.35	0.2220	0.17	0.9966
