Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.4994	0.33	7.1115	0.62	0.4533	0.33	0.4181	0.16	8.6614	0.59	0.3714	0.21	0.9875
mfo	LK	full	0.4162	0.14	6.5894	0.85	0.3551	0.14	0.3523	0.11	8.5075	0.77	0.3087	0.11	0.9778
mfo	PK	full	0.2812	0.30	4.1413	0.98	0.2538	0.30	0.2565	0.19	8.4387	0.77	0.2448	0.19	0.9871
bpo	NK	full	0.3015	0.33	14.2806	0.84	0.2585	0.33	0.2608	0.10	20.3166	0.83	0.2253	0.10	0.9877
bpo	LK	full	0.2605	0.30	14.6439	0.97	0.2038	0.30	0.2278	0.09	30.8466	0.85	0.1772	0.09	0.9973
bpo	PK	full	0.0980	0.43	10.4437	1.00	0.0876	0.43	0.1172	0.20	22.9109	1.00	0.1044	0.20	0.9958
cco	NK	full	0.4280	0.22	5.4165	1.00	0.2817	0.35	0.3333	0.13	8.2735	0.96	0.2184	0.13	0.9905
cco	LK	full	0.3882	0.26	4.9803	0.97	0.2381	0.30	0.3191	0.11	7.8330	0.82	0.2209	0.11	0.9940
cco	PK	full	0.2159	0.46	4.5318	1.00	0.1908	0.47	0.1955	0.14	7.3321	1.00	0.1702	0.14	0.9962
