Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.4061	0.24	8.1614	0.41	0.2406	0.16	0.3792	0.22	10.4888	0.41	0.2091	0.16	1.0000
mfo	LK	full	0.4109	0.24	5.9110	0.24	0.3113	0.24	0.3668	0.24	8.3624	0.24	0.2549	0.24	1.0000
mfo	PK	full	0.2792	0.24	3.8605	0.27	0.2544	0.27	0.1712	0.18	8.2178	0.23	0.1567	0.17	0.9672
bpo	NK	full	0.3172	0.34	14.0521	0.51	0.2089	0.22	0.2929	0.21	20.4314	0.34	0.2044	0.16	1.0000
bpo	LK	full	0.2808	0.23	14.1754	0.34	0.2055	0.23	0.2927	0.19	29.7261	0.23	0.2288	0.11	1.0000
bpo	PK	full	0.1151	0.21	10.2221	0.34	0.1030	0.16	0.1608	0.16	22.0996	0.23	0.1384	0.13	0.9843
cco	NK	full	0.5963	0.49	5.0152	0.34	0.3063	0.31	0.5375	0.33	7.5654	0.33	0.2856	0.21	1.0000
cco	LK	full	0.5742	0.50	4.8644	0.43	0.2747	0.22	0.5010	0.26	7.4650	0.25	0.2475	0.15	1.0000
cco	PK	full	0.2629	0.33	4.2669	0.35	0.2211	0.22	0.2354	0.23	7.0490	0.33	0.1987	0.08	0.9990
