Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.5117	0.38	7.2160	0.62	0.4643	0.39	0.4199	0.34	8.6425	0.62	0.3828	0.38	0.9885
mfo	LK	full	0.4018	0.22	6.6400	0.85	0.3460	0.24	0.3427	0.18	8.4328	0.80	0.2997	0.22	0.9790
mfo	PK	full	0.2787	0.35	4.1379	0.99	0.2503	0.35	0.2515	0.24	8.3103	0.93	0.2366	0.25	0.9889
bpo	NK	full	0.3055	0.41	14.2544	0.88	0.2616	0.41	0.2552	0.25	20.2440	0.87	0.2194	0.25	0.9885
bpo	LK	full	0.2662	0.34	14.5547	0.95	0.2105	0.34	0.2092	0.30	30.0222	0.95	0.1691	0.34	0.9973
bpo	PK	full	0.0991	0.49	10.4437	1.00	0.0884	0.49	0.1152	0.27	22.8808	1.00	0.1008	0.27	0.9965
cco	NK	full	0.4263	0.33	5.5159	1.00	0.2805	0.37	0.3405	0.24	8.3003	1.00	0.2195	0.26	0.9934
cco	LK	full	0.3897	0.33	4.9922	0.96	0.2333	0.33	0.3156	0.21	7.8603	0.86	0.2138	0.21	0.9940
cco	PK	full	0.2168	0.40	4.5318	1.00	0.1889	0.56	0.1903	0.33	7.3543	1.00	0.1663	0.34	0.9966
