Aspect	Type	Mode	Fmax	Cutoff	Smin	Cutoff	wFmax	Cutoff	F'max	Cutoff	S'min	Cutoff	wF'max	Cutoff	Coverage
mfo	NK	full	0.5904	0.69	6.1997	0.94	0.5416	0.69	0.5476	0.69	7.1990	0.94	0.5079	0.69	0.7797
mfo	LK	full	0.4805	0.69	6.2043	0.98	0.4411	0.69	0.4621	0.69	7.8008	0.94	0.4363	0.69	0.7985
mfo	PK	full	0.2817	0.69	4.0115	1.00	0.2742	0.69	0.3105	0.69	7.9244	0.99	0.3132	0.69	0.7711
bpo	NK	full	0.3359	0.69	14.5001	0.94	0.2718	0.69	0.2729	0.69	19.9733	0.94	0.2249	0.69	0.6407
bpo	LK	full	0.3820	0.69	14.3831	0.98	0.3048	0.69	0.3372	0.69	29.2764	0.94	0.2742	0.69	0.8356
bpo	PK	full	0.1517	0.69	10.4437	1.00	0.1405	0.69	0.1553	0.69	22.8347	1.00	0.1435	0.69	0.8448
cco	NK	full	0.4266	0.69	5.3956	0.98	0.2461	0.69	0.3478	0.69	8.2102	0.98	0.2129	0.69	0.6210
cco	LK	full	0.5022	0.69	5.0409	1.00	0.3066	0.69	0.4392	0.69	7.9179	0.98	0.3001	0.69	0.8388
cco	PK	full	0.2621	0.69	4.5318	1.00	0.2311	0.69	0.2708	0.69	7.2070	0.99	0.2475	0.69	0.8556
